what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1299570640835
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1299570641220
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1299570641502
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1299570641674
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1299570642020
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299570644036
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.AllMarkersView",1299570645862
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570647628
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570648955
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1299570649734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570650748
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570651955
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299570653938
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1299570669868
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299570671020
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1299570682978
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299570683573
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299570686681
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299570687389
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299570688217
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299570690357
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1299570691873
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570693928
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570694734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570695418
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299570697194
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570697354
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570698803
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570699386
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1299570699438
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299570700540
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1299570701642
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570702282
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570702881
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299570705992
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299570718311
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1299570720976
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299570721703
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570742749
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570751374
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1299570761500
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1299570764783
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299570765064
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1299570765634
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570765880
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570768131
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1299570769731
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1299570770471
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1299570770778
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1299570773581
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570775746
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570777385
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570783256
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570784343
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1299570788508
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1299570790511
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299570791207
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299570793976
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1299570796742
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1299570797624
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570799262
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570801060
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1299570803804
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1299570805004
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299570805628
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1299570817306
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1299570818134
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1299570818664
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1299570819103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299570820054
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299570826567
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299570828119
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299570832199
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299570836412
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570886489
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570899947
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1299570902363
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1299570904759
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570906686
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570908058
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299570910546
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299570919813
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570929718
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570930491
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299570930840
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571030970
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1299571035008
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1299571038184
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299571040155
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1299571041299
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571043296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571045633
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299571047259
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1299571050594
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571051648
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571052746
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299571054414
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1299571056245
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299571057687
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1299571082516
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299571088844
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1299571100052
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299571102746
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1299571109668
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1299571112314
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299571112862
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1299571113636
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1299571114588
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299571115229
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1299571117506
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571119827
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571122072
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299571123737
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571130351
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571130432
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571130502
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571150127
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1299571152507
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299571153035
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571159745
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571170294
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571195280
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571199382
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1299571199404
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299571200101
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299571209160
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571235840
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571257857
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299571266506
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571308959
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571334718
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571386781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571388955
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1299571388980
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571390488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299571407295
